model_name,step,accuracy,match_f1_mean,precision_mean,recall_mean,avg_pred_steps
outputs_testing_qwen25vl_3b,-1,0.3985,0.4802,0.8983,0.3466,3.7318
checkpoint-100,100,0.3030,0.1774,0.9972,0.1007,0.9972
checkpoint-200,200,0.3566,0.3646,0.9300,0.2380,2.4856
checkpoint-300,300,0.2891,0.5071,0.9672,0.3590,3.7669
checkpoint-400,400,0.3041,0.3286,0.9928,0.2041,2.0880
checkpoint-500,500,0.3030,0.3880,0.9866,0.2504,2.6274
checkpoint-600,600,0.2698,0.3045,0.9266,0.1889,1.9281
checkpoint-700,700,0.3892,0.5063,0.9520,0.3593,3.8194
checkpoint-800,800,0.3617,0.4680,0.8778,0.3412,3.7210
checkpoint-900,900,0.3983,0.4726,0.9494,0.3299,3.5515
checkpoint-1000,1000,0.4204,0.3832,0.9649,0.2480,2.6234
checkpoint-1100,1100,0.3966,0.5020,0.9722,0.3527,3.7644
checkpoint-1200,1200,0.3704,0.4798,0.9438,0.3352,3.5497
checkpoint-1300,1300,0.3500,0.3765,0.9698,0.2425,2.5334
checkpoint-1400,1400,0.4492,0.4264,0.9831,0.2839,2.9992
checkpoint-1500,1500,0.4479,0.4102,0.9745,0.2704,2.8540
