Model,Family,Size,Params (B),Accuracy (%),Match F1,Precision,Recall,F1 Std,Avg Steps (Pred),Avg Steps (Ref),Avg Similarity,Samples
outputs_testing_gemma3_12b_64k,Gemma3,12B,12.0000,33.8251,0.6049,0.8383,0.4991,0.2840,5.5073,11.5608,0.8521,6371
outputs_testing_gemma3_4b,Gemma3,4B,4.0000,28.6454,0.6179,0.8780,0.5059,0.2554,5.7195,11.5608,0.8933,6371
outputs_testing_internvl35_38b,InternVL3.5,38B,38.0000,51.2088,0.6118,0.8922,0.4979,0.2434,5.7630,11.5570,0.9094,6370
outputs_testing_internvl35_8b,InternVL3.5,8B,8.0000,51.9780,0.5303,0.8816,0.4159,0.2680,4.9634,11.5570,0.8925,6370
outputs_testing_internvl35_4b,InternVL3.5,4B,4.0000,37.6079,0.4318,0.8953,0.3251,0.2769,3.7506,11.5608,0.9017,6371
outputs_testing_internvl35_2b,InternVL3.5,2B,2.0000,33.0195,0.4687,0.7250,0.3708,0.3164,3.9233,11.5640,0.7343,6372
outputs_testing_internvl35_1b,InternVL3.5,1B,1.0000,30.1318,0.3301,0.6156,0.2433,0.2953,2.5094,11.5640,0.6199,6372
outputs_testing_llava7b_16,LLaVA,7B,7.0000,24.6625,0.5121,0.9609,0.3696,0.1784,3.9407,11.5570,0.9666,6370
outputs_testing_minicpm_v_8b,MiniCPM,8B,8.0000,25.5376,0.2149,0.7094,0.1338,0.1749,1.3080,11.5608,0.7110,6371
outputs_testing_qwen25vl_32b_64k,Qwen2.5-VL,32B,32.0000,47.6295,0.6525,0.9432,0.5237,0.2007,5.8622,11.5570,0.9531,6370
outputs_testing_qwen25vl_7b,Qwen2.5-VL,7B,7.0000,30.4300,0.4754,0.7647,0.3653,0.2932,4.0651,11.5640,0.7712,6372
outputs_testing_qwen25vl_3b,Qwen2.5-VL,3B,3.0000,42.7002,0.4802,0.8983,0.3467,0.2106,3.7305,11.5570,0.9041,6370
outputs_testing_qwen3vl_32b,Qwen3-VL,32B,32.0000,49.2153,0.7176,0.8194,0.7037,0.2801,10.5614,11.5640,0.9043,6372
outputs_testing_qwen3vl_8b,Qwen3-VL,8B,8.0000,57.6609,0.6586,0.8271,0.5896,0.2922,7.3672,11.5586,0.8664,6370
outputs_testing_qwen3vl_2b,Qwen3-VL,2B,2.0000,34.1494,0.5950,0.7256,0.5354,0.3621,5.9402,11.5640,0.7531,6372
