sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,0.9473684210526316,0.8763157894736842,0.5,0.75,0.9,1.0,10,9
1,0.9411764705882353,0.880672268907563,0.5714285714285714,0.7857142857142857,1.0,0.8888888888888888,8,9
2,0.9411764705882353,0.7999999999999999,0.0,0.5,0.8888888888888888,1.0,9,8
3,1.0,0.84,-0.06666666666666667,0.4666666666666667,1.0,1.0,6,6
4,0.9411764705882353,0.8403361344537814,0.2857142857142857,0.6428571428571428,0.8888888888888888,1.0,9,8
5,0.8750000000000001,0.7250000000000001,-0.14285714285714285,0.4285714285714286,0.7777777777777778,1.0,9,7
6,0.923076923076923,0.8123076923076922,0.2,0.6,0.8571428571428571,1.0,7,6
7,0.8571428571428571,0.7885714285714285,0.4666666666666667,0.7333333333333334,1.0,0.75,6,8
8,0.7692307692307693,0.6769230769230768,0.2,0.6,0.625,1.0,8,5
9,1.0,0.9099999999999999,0.4,0.7,1.0,1.0,5,5
10,0.8,0.672,-0.06666666666666667,0.4666666666666667,0.6666666666666666,1.0,9,6
11,0.8571428571428571,0.72,-0.06666666666666667,0.4666666666666667,0.75,1.0,8,6
12,0.923076923076923,0.8123076923076922,0.2,0.6,0.8571428571428571,1.0,7,6
13,0.8333333333333333,0.7333333333333332,0.2,0.6,1.0,0.7142857142857143,5,7
14,0.8571428571428571,0.72,-0.06666666666666667,0.4666666666666667,0.75,1.0,8,6
15,1.0,0.86,0.06666666666666667,0.5333333333333333,1.0,1.0,6,6
16,0.888888888888889,0.8444444444444444,0.6666666666666666,0.8333333333333333,1.0,0.8,4,5
17,0.923076923076923,0.8492307692307691,0.4666666666666667,0.7333333333333334,0.8571428571428571,1.0,7,6
18,0.8333333333333333,0.6833333333333332,-0.2,0.4,0.7142857142857143,1.0,7,5
19,0.8,0.64,-0.3333333333333333,0.33333333333333337,1.0,0.6666666666666666,4,6
20,0.7692307692307693,0.6307692307692307,-0.2,0.4,0.625,1.0,8,5
21,0.9090909090909091,0.7999999999999998,0.2,0.6,1.0,0.8333333333333334,5,6
22,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
23,0.9090909090909091,0.7181818181818181,-0.4,0.3,1.0,0.8333333333333334,5,6
24,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
25,0.8,0.64,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,9,6
26,0.923076923076923,0.7938461538461538,0.06666666666666667,0.5333333333333333,0.8571428571428571,1.0,7,6
27,0.8750000000000001,0.8625,0.9047619047619048,0.9523809523809523,0.7777777777777778,1.0,9,7
28,0.8333333333333333,0.7333333333333332,0.2,0.6,0.7142857142857143,1.0,7,5
29,0.8,0.6880000000000001,0.06666666666666667,0.5333333333333333,1.0,0.6666666666666666,6,9
30,0.8571428571428571,0.6857142857142856,-0.3333333333333333,0.33333333333333337,0.75,1.0,8,6
31,0.8,0.72,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,6,4
32,0.5,0.425,0.0,0.5,0.3333333333333333,1.0,15,5
33,0.888888888888889,0.7999999999999999,0.3333333333333333,0.6666666666666666,1.0,0.8,4,5
34,0.8571428571428571,0.72,-0.06666666666666667,0.4666666666666667,0.75,1.0,8,6
35,0.9090909090909091,0.7454545454545454,-0.2,0.4,0.8333333333333334,1.0,6,5
36,0.923076923076923,0.7753846153846153,-0.06666666666666667,0.4666666666666667,1.0,0.8571428571428571,6,7
37,1.0,0.8428571428571427,-0.047619047619047616,0.47619047619047616,1.0,1.0,7,7
38,0.9090909090909091,0.8272727272727272,0.4,0.7,0.8333333333333334,1.0,6,5
39,0.8333333333333333,0.6833333333333332,-0.2,0.4,1.0,0.7142857142857143,5,7
40,0.8571428571428571,0.7885714285714285,0.4666666666666667,0.7333333333333334,0.75,1.0,8,6
41,0.7777777777777778,0.6444444444444444,-0.14285714285714285,0.4285714285714286,0.6363636363636364,1.0,11,7
42,0.8333333333333333,0.7833333333333332,0.6,0.8,1.0,0.7142857142857143,5,7
43,0.923076923076923,0.8492307692307691,0.4666666666666667,0.7333333333333334,1.0,0.8571428571428571,6,7
44,0.923076923076923,0.8123076923076922,0.2,0.6,0.8571428571428571,1.0,7,6
45,0.923076923076923,0.7938461538461538,0.06666666666666667,0.5333333333333333,1.0,0.8571428571428571,6,7
46,1.0,0.8142857142857143,-0.23809523809523808,0.38095238095238093,1.0,1.0,7,7
47,0.8,0.6000000000000001,-0.6666666666666666,0.16666666666666669,1.0,0.6666666666666666,4,6
48,0.7272727272727273,0.5818181818181818,-0.3333333333333333,0.33333333333333337,1.0,0.5714285714285714,4,7
49,0.9411764705882353,0.7999999999999999,0.0,0.5,0.8888888888888888,1.0,9,8
50,0.888888888888889,0.7555555555555555,0.0,0.5,1.0,0.8,4,5
51,0.9090909090909091,0.7454545454545454,-0.2,0.4,0.8333333333333334,1.0,6,5
52,0.9090909090909091,0.7454545454545454,-0.2,0.4,0.8333333333333334,1.0,6,5
53,0.8571428571428571,0.7371428571428571,0.06666666666666667,0.5333333333333333,0.75,1.0,8,6
54,0.8571428571428571,0.7714285714285714,0.3333333333333333,0.6666666666666666,1.0,0.75,6,8
55,0.8571428571428571,0.7542857142857141,0.2,0.6,1.0,0.75,6,8
56,0.9333333333333333,0.8533333333333333,0.42857142857142855,0.7142857142857143,1.0,0.875,7,8
57,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.5,4,8
58,0.7692307692307693,0.6076923076923076,-0.4,0.3,1.0,0.625,5,8
59,1.0,0.8821428571428571,0.21428571428571427,0.6071428571428571,1.0,1.0,8,8
60,1.0,0.8392857142857142,-0.07142857142857142,0.4642857142857143,1.0,1.0,8,8
61,0.7692307692307693,0.6307692307692307,-0.2,0.4,1.0,0.625,5,8
62,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
63,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
64,0.33333333333333337,0.33333333333333337,1.0,1.0,0.2,1.0,5,1
65,0.8571428571428571,0.8057142857142856,0.6,0.8,1.0,0.75,6,8
66,0.8571428571428571,0.6514285714285714,-0.6,0.2,1.0,0.75,6,8
67,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
68,0.8571428571428571,0.7542857142857141,0.2,0.6,1.0,0.75,6,8
69,0.6153846153846153,0.556043956043956,0.35714285714285715,0.6785714285714286,0.4444444444444444,1.0,18,8
70,0.9333333333333333,0.7866666666666666,-0.047619047619047616,0.47619047619047616,1.0,0.875,7,8
71,0.888888888888889,0.7746031746031745,0.14285714285714285,0.5714285714285714,0.8,1.0,10,8
72,0.7692307692307693,0.6538461538461539,0.0,0.5,1.0,0.625,5,8
73,0.8571428571428571,0.7542857142857141,0.2,0.6,1.0,0.75,6,8
74,0.8,0.64,-0.3333333333333333,0.33333333333333337,1.0,0.6666666666666666,4,6
75,0.7692307692307693,0.7461538461538462,0.8,0.9,1.0,0.625,5,8
76,1.0,0.9249999999999999,0.5,0.75,1.0,1.0,9,9
77,0.8750000000000001,0.7875,0.3333333333333333,0.6666666666666666,1.0,0.7777777777777778,7,9
78,0.888888888888889,0.8126984126984127,0.42857142857142855,0.7142857142857143,0.8,1.0,10,8
79,0.5,0.44999999999999996,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,3,9
80,0.9333333333333333,0.7466666666666666,-0.3333333333333333,0.33333333333333337,1.0,0.875,7,8
81,0.9411764705882353,0.8605042016806722,0.42857142857142855,0.7142857142857143,1.0,0.8888888888888888,8,9
82,0.5454545454545454,0.5454545454545454,1.0,1.0,1.0,0.375,3,8
83,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
84,0.7142857142857143,0.6285714285714286,0.2,0.6,1.0,0.5555555555555556,5,9
85,0.7142857142857143,0.6285714285714286,0.2,0.6,1.0,0.5555555555555556,5,9
86,0.888888888888889,0.7841269841269841,0.21428571428571427,0.6071428571428571,0.8,1.0,10,8
87,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
88,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
89,0.8571428571428571,0.6685714285714285,-0.4666666666666667,0.26666666666666666,1.0,0.75,6,8
90,0.5454545454545454,0.49090909090909085,0.3333333333333333,0.6666666666666666,1.0,0.375,3,8
91,0.888888888888889,0.765079365079365,0.07142857142857142,0.5357142857142857,0.8,1.0,10,8
92,0.8571428571428571,0.72,-0.06666666666666667,0.4666666666666667,1.0,0.75,6,8
93,0.7692307692307693,0.7461538461538462,0.8,0.9,1.0,0.625,5,8
94,1.0,0.9357142857142857,0.5714285714285714,0.7857142857142857,1.0,1.0,8,8
95,0.923076923076923,0.7753846153846153,-0.06666666666666667,0.4666666666666667,1.0,0.8571428571428571,6,7
96,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
97,0.9411764705882353,0.7798319327731091,-0.14285714285714285,0.4285714285714286,0.8888888888888888,1.0,9,8
98,0.7692307692307693,0.7692307692307693,1.0,1.0,1.0,0.625,5,8
99,0.7692307692307693,0.6769230769230768,0.2,0.6,1.0,0.625,5,8
100,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
101,1.0,0.9249999999999999,0.5,0.75,1.0,1.0,8,8
102,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
103,0.7692307692307693,0.7,0.4,0.7,1.0,0.625,5,8
104,0.7692307692307693,0.7461538461538462,0.8,0.9,1.0,0.625,5,8
105,0.8571428571428571,0.7542857142857141,0.2,0.6,1.0,0.75,6,8
106,0.8,0.6628571428571428,-0.14285714285714285,0.4285714285714286,0.6666666666666666,1.0,12,8
107,0.8750000000000001,0.8125,0.5238095238095238,0.7619047619047619,1.0,0.7777777777777778,7,9
108,0.8,0.736,0.4666666666666667,0.7333333333333334,1.0,0.6666666666666666,6,9
