sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,0.5,0.39999999999999997,-0.3333333333333333,0.33333333333333337,1.0,0.3333333333333333,3,9
1,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,0.1111111111111111,1,9
2,0.5454545454545454,0.5454545454545454,1.0,1.0,1.0,0.375,3,8
3,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
4,0.7692307692307693,0.6538461538461539,0.0,0.5,1.0,0.625,5,8
5,0.7272727272727273,0.6181818181818182,0.0,0.5,1.0,0.5714285714285714,4,7
6,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
7,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
8,0.7499999999999999,0.6749999999999998,0.3333333333333333,0.6666666666666666,1.0,0.6,3,5
9,0.7499999999999999,0.7499999999999999,1.0,1.0,1.0,0.6,3,5
10,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
11,0.6666666666666666,0.5999999999999999,0.3333333333333333,0.6666666666666666,1.0,0.5,3,6
12,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
13,0.6,0.6,1.0,1.0,1.0,0.42857142857142855,3,7
14,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,3,6
15,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
16,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
17,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
18,0.7499999999999999,0.5249999999999999,-1.0,0.0,1.0,0.6,3,5
19,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
20,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
21,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
22,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
23,0.6666666666666666,0.5999999999999999,0.3333333333333333,0.6666666666666666,1.0,0.5,3,6
24,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
25,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
26,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
27,0.6,0.5399999999999999,0.3333333333333333,0.6666666666666666,1.0,0.42857142857142855,3,7
28,0.888888888888889,0.7111111111111111,-0.3333333333333333,0.33333333333333337,1.0,0.8,4,5
29,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,0.1111111111111111,1,9
30,0.6666666666666666,0.5999999999999999,0.3333333333333333,0.6666666666666666,1.0,0.5,3,6
31,0.4,0.4,1.0,1.0,1.0,0.25,1,4
32,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
33,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
34,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
