sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,0.7142857142857143,0.6071428571428571,0.0,0.5,1.0,0.5555555555555556,5,9
1,0.7142857142857143,0.6285714285714286,0.2,0.6,1.0,0.5555555555555556,5,9
3,0.9090909090909091,0.8272727272727272,0.4,0.7,1.0,0.8333333333333334,5,6
4,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
5,0.8235294117647058,0.7058823529411764,0.047619047619047616,0.5238095238095238,0.7,1.0,10,7
6,0.6666666666666666,0.5333333333333332,-0.3333333333333333,0.33333333333333337,1.0,0.5,3,6
7,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
8,1.0,0.8799999999999999,0.2,0.6,1.0,1.0,5,5
14,0.6666666666666666,0.4666666666666666,-1.0,0.0,1.0,0.5,3,6
16,1.0,0.97,0.8,0.9,1.0,1.0,5,5
17,0.8,0.76,0.6666666666666666,0.8333333333333333,1.0,0.6666666666666666,4,6
18,1.0,0.82,-0.2,0.4,1.0,1.0,5,5
20,0.888888888888889,0.7555555555555555,0.0,0.5,1.0,0.8,4,5
22,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
23,0.8,0.68,0.0,0.5,1.0,0.6666666666666666,4,6
25,0.9090909090909091,0.8545454545454545,0.6,0.8,1.0,0.8333333333333334,5,6
28,0.8333333333333333,0.7083333333333333,0.0,0.5,0.7142857142857143,1.0,7,5
30,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
32,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
35,0.7499999999999999,0.6749999999999998,0.3333333333333333,0.6666666666666666,1.0,0.6,3,5
37,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
38,1.0,0.9099999999999999,0.4,0.7,1.0,1.0,5,5
40,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,2,6
42,0.8333333333333333,0.7583333333333332,0.4,0.7,1.0,0.7142857142857143,5,7
45,0.6,0.4799999999999999,-0.3333333333333333,0.33333333333333337,1.0,0.42857142857142855,3,7
48,0.7272727272727273,0.6545454545454545,0.3333333333333333,0.6666666666666666,1.0,0.5714285714285714,4,7
51,0.6666666666666666,0.6466666666666666,0.8,0.9,0.5,1.0,10,5
53,0.9090909090909091,0.8818181818181817,0.8,0.9,1.0,0.8333333333333334,5,6
54,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
55,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.5,4,8
56,1.0,0.8714285714285713,0.14285714285714285,0.5714285714285714,1.0,1.0,8,8
57,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
58,0.6666666666666666,0.5333333333333332,-0.3333333333333333,0.33333333333333337,1.0,0.5,4,8
59,0.7692307692307693,0.6538461538461539,0.0,0.5,1.0,0.625,5,8
60,0.7692307692307693,0.7461538461538462,0.8,0.9,1.0,0.625,5,8
62,0.5454545454545454,0.5454545454545454,1.0,1.0,1.0,0.375,3,8
65,0.7692307692307693,0.7,0.4,0.7,1.0,0.625,5,8
66,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
70,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
71,0.9333333333333333,0.88,0.6190476190476191,0.8095238095238095,1.0,0.875,7,8
73,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.5,4,8
76,0.6153846153846153,0.6153846153846153,1.0,1.0,1.0,0.4444444444444444,4,9
78,0.6666666666666666,0.5,-0.6666666666666666,0.16666666666666669,1.0,0.5,4,8
79,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,0.1111111111111111,1,9
80,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
81,0.7142857142857143,0.6714285714285714,0.6,0.8,1.0,0.5555555555555556,5,9
82,0.7692307692307693,0.5846153846153846,-0.6,0.2,1.0,0.625,5,8
83,0.7692307692307693,0.6769230769230768,0.2,0.6,1.0,0.625,5,8
84,0.6153846153846153,0.5538461538461538,0.3333333333333333,0.6666666666666666,1.0,0.4444444444444444,4,9
87,0.7692307692307693,0.7,0.4,0.7,1.0,0.625,5,8
88,0.7692307692307693,0.7461538461538462,0.8,0.9,1.0,0.625,5,8
89,0.5454545454545454,0.49090909090909085,0.3333333333333333,0.6666666666666666,1.0,0.375,3,8
90,0.7692307692307693,0.7,0.4,0.7,1.0,0.625,5,8
91,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.5,4,8
98,0.6666666666666666,0.5999999999999999,0.3333333333333333,0.6666666666666666,1.0,0.5,4,8
99,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
100,0.6666666666666666,0.5666666666666667,0.0,0.5,1.0,0.5,4,8
101,0.7692307692307693,0.6538461538461539,0.0,0.5,1.0,0.625,5,8
103,0.5454545454545454,0.5454545454545454,1.0,1.0,1.0,0.375,3,8
104,0.5454545454545454,0.49090909090909085,0.3333333333333333,0.6666666666666666,1.0,0.375,3,8
106,0.7692307692307693,0.7230769230769231,0.6,0.8,1.0,0.625,5,8
107,0.7142857142857143,0.6714285714285714,0.6,0.8,1.0,0.5555555555555556,5,9
