sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,0.1111111111111111,1,9
1,0.19999999999999998,0.19999999999999998,1.0,1.0,1.0,0.1111111111111111,1,9
2,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
3,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
4,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
5,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
6,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
7,0.4,0.27999999999999997,-1.0,0.0,1.0,0.25,2,8
8,0.5714285714285715,0.5714285714285715,1.0,1.0,1.0,0.4,2,5
9,0.5714285714285715,0.4,-1.0,0.0,1.0,0.4,2,5
10,0.5,0.35,-1.0,0.0,1.0,0.3333333333333333,2,6
11,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
13,0.4444444444444445,0.4444444444444445,1.0,1.0,1.0,0.2857142857142857,2,7
14,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
15,0.5,0.35,-1.0,0.0,1.0,0.3333333333333333,2,6
16,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
17,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,2,6
18,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
19,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
20,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
21,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,2,6
22,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
23,0.5,0.35,-1.0,0.0,1.0,0.3333333333333333,2,6
24,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
26,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,2,6
27,0.6,0.6,1.0,1.0,1.0,0.42857142857142855,3,7
28,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
30,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
31,0.4,0.4,1.0,1.0,1.0,0.25,1,4
32,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
34,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
35,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
36,0.4444444444444445,0.3111111111111111,-1.0,0.0,1.0,0.2857142857142857,2,7
38,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
39,0.4444444444444445,0.4444444444444445,1.0,1.0,1.0,0.2857142857142857,2,7
40,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
41,0.6,0.5399999999999999,0.3333333333333333,0.6666666666666666,1.0,0.42857142857142855,3,7
42,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
43,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
44,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
45,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
46,0.4444444444444445,0.3111111111111111,-1.0,0.0,1.0,0.2857142857142857,2,7
47,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,1,6
48,0.25,0.25,1.0,1.0,1.0,0.14285714285714285,1,7
49,0.4,0.27999999999999997,-1.0,0.0,1.0,0.25,2,8
50,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.2,1,5
51,0.7499999999999999,0.6749999999999998,0.3333333333333333,0.6666666666666666,1.0,0.6,3,5
52,0.5714285714285715,0.4,-1.0,0.0,1.0,0.4,2,5
54,0.4,0.27999999999999997,-1.0,0.0,1.0,0.25,2,8
56,0.4,0.4,1.0,1.0,1.0,0.25,2,8
58,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
59,0.4,0.27999999999999997,-1.0,0.0,1.0,0.25,2,8
60,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.125,1,8
61,0.4,0.27999999999999997,-1.0,0.0,1.0,0.25,2,8
