sample_idx,match_f1,ordered_f1,kendall_tau,tau_normalized,precision,recall,num_predicted_steps,num_reference_steps
0,0.9411764705882353,0.8403361344537814,0.2857142857142857,0.6428571428571428,1.0,0.8888888888888888,8,9
1,0.8,0.6880000000000001,0.06666666666666667,0.5333333333333333,1.0,0.6666666666666666,6,9
2,0.8571428571428571,0.6857142857142856,-0.3333333333333333,0.33333333333333337,1.0,0.75,6,8
3,1.0,0.84,-0.06666666666666667,0.4666666666666667,1.0,1.0,6,6
4,0.9333333333333333,0.7866666666666666,-0.047619047619047616,0.47619047619047616,1.0,0.875,7,8
5,0.923076923076923,0.8307692307692306,0.3333333333333333,0.6666666666666666,1.0,0.8571428571428571,6,7
7,0.9333333333333333,0.84,0.3333333333333333,0.6666666666666666,1.0,0.875,7,8
8,0.7692307692307693,0.6076923076923076,-0.4,0.3,0.625,1.0,8,5
9,0.8333333333333333,0.7833333333333332,0.6,0.8,0.7142857142857143,1.0,7,5
10,1.0,0.8999999999999999,0.3333333333333333,0.6666666666666666,1.0,1.0,6,6
11,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,0.8333333333333334,5,6
12,0.8571428571428571,0.7371428571428571,0.06666666666666667,0.5333333333333333,0.75,1.0,8,6
13,1.0,0.8285714285714285,-0.14285714285714285,0.4285714285714286,1.0,1.0,7,7
14,0.8571428571428571,0.6514285714285714,-0.6,0.2,0.75,1.0,8,6
15,1.0,0.84,-0.06666666666666667,0.4666666666666667,1.0,1.0,6,6
16,1.0,0.85,0.0,0.5,1.0,1.0,5,5
17,0.923076923076923,0.8676923076923075,0.6,0.8,0.8571428571428571,1.0,7,6
18,0.9090909090909091,0.7727272727272727,0.0,0.5,0.8333333333333334,1.0,6,5
19,1.0,0.84,-0.06666666666666667,0.4666666666666667,1.0,1.0,6,6
20,0.7692307692307693,0.6769230769230768,0.2,0.6,0.625,1.0,8,5
21,0.923076923076923,0.7569230769230768,-0.2,0.4,0.8571428571428571,1.0,7,6
22,0.8571428571428571,0.7714285714285714,0.3333333333333333,0.6666666666666666,1.0,0.75,6,8
23,0.9090909090909091,0.7999999999999998,0.2,0.6,1.0,0.8333333333333334,5,6
24,0.7692307692307693,0.6538461538461539,0.0,0.5,1.0,0.625,5,8
25,0.8,0.704,0.2,0.6,0.6666666666666666,1.0,9,6
26,1.0,0.8799999999999999,0.2,0.6,1.0,1.0,6,6
27,0.8333333333333333,0.7333333333333332,0.2,0.6,1.0,0.7142857142857143,5,7
28,0.9090909090909091,0.7454545454545454,-0.2,0.4,0.8333333333333334,1.0,6,5
29,1.0,0.8999999999999999,0.3333333333333333,0.6666666666666666,1.0,1.0,9,9
30,1.0,0.82,-0.2,0.4,1.0,1.0,6,6
31,0.8,0.72,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,6,4
32,1.0,0.94,0.6,0.8,1.0,1.0,5,5
33,0.8333333333333333,0.7083333333333333,0.0,0.5,0.7142857142857143,1.0,7,5
