model,total_evaluated,alpha_0.00_match_f1,alpha_0.00_ordered_f1,alpha_0.00_precision,alpha_0.00_recall,alpha_0.00_kendall_tau,alpha_0.00_tau_norm,alpha_0.00_avg_steps,alpha_0.10_match_f1,alpha_0.10_ordered_f1,alpha_0.10_precision,alpha_0.10_recall,alpha_0.10_kendall_tau,alpha_0.10_tau_norm,alpha_0.10_avg_steps,alpha_0.20_match_f1,alpha_0.20_ordered_f1,alpha_0.20_precision,alpha_0.20_recall,alpha_0.20_kendall_tau,alpha_0.20_tau_norm,alpha_0.20_avg_steps,alpha_0.30_match_f1,alpha_0.30_ordered_f1,alpha_0.30_precision,alpha_0.30_recall,alpha_0.30_kendall_tau,alpha_0.30_tau_norm,alpha_0.30_avg_steps,alpha_0.50_match_f1,alpha_0.50_ordered_f1,alpha_0.50_precision,alpha_0.50_recall,alpha_0.50_kendall_tau,alpha_0.50_tau_norm,alpha_0.50_avg_steps
GPT-5,5941,0.6566665757266045,0.6566665757266045,0.9924516686740803,0.5136316061203868,0.1693201350985612,0.5846600675492806,5.668574314088537,0.6566665757266045,0.6293786347494164,0.9924516686740803,0.5136316061203868,0.1693201350985612,0.5846600675492806,5.668574314088537,0.6566665757266045,0.6020906937722278,0.9924516686740803,0.5136316061203868,0.1693201350985612,0.5846600675492806,5.668574314088537,0.6566665757266045,0.5748027527950397,0.9924516686740803,0.5136316061203868,0.1693201350985612,0.5846600675492806,5.668574314088537,0.6566665757266045,0.520226870840667,0.9924516686740803,0.5136316061203868,0.1693201350985612,0.5846600675492806,5.668574314088537
GPT-5-mini,6360,0.7747103471019885,0.7747103471019885,0.9802368377702104,0.6706996257882593,0.170020566608569,0.5850102833042826,7.582232704402515,0.7747103471019885,0.7426694777597109,0.9802368377702104,0.6706996257882593,0.170020566608569,0.5850102833042826,7.582232704402515,0.7747103471019885,0.7106286084174347,0.9802368377702104,0.6706996257882593,0.170020566608569,0.5850102833042826,7.582232704402515,0.7747103471019885,0.6785877390751511,0.9802368377702104,0.6706996257882593,0.170020566608569,0.5850102833042826,7.582232704402515,0.7747103471019885,0.614506000390598,0.9802368377702104,0.6706996257882593,0.170020566608569,0.5850102833042826,7.582232704402515
GPT-5.2 Instant,6242,0.5759142495550689,0.5759142495550689,0.9945990139926298,0.4243537223020611,0.1425248927702598,0.5712624463851275,4.735821851970522,0.5759142495550689,0.5511867060558047,0.9945990139926298,0.4243537223020611,0.1425248927702598,0.5712624463851275,4.735821851970522,0.5759142495550689,0.5264591625565519,0.9945990139926298,0.4243537223020611,0.1425248927702598,0.5712624463851275,4.735821851970522,0.5759142495550689,0.5017316190572907,0.9945990139926298,0.4243537223020611,0.1425248927702598,0.5712624463851275,4.735821851970522,0.5759142495550689,0.4522765320587709,0.9945990139926298,0.4243537223020611,0.1425248927702598,0.5712624463851275,4.735821851970522
Gemini 2.5 Flash,5696,0.7525618646205594,0.7525618646205594,0.7845934333909813,0.8552721274251028,0.1987535943577969,0.5993767971788959,19.1279845505618,0.7525618646205594,0.7225911386436128,0.7845934333909813,0.8552721274251028,0.1987535943577969,0.5993767971788959,19.1279845505618,0.7525618646205594,0.6926204126666704,0.7845934333909813,0.8552721274251028,0.1987535943577969,0.5993767971788959,19.1279845505618,0.7525618646205594,0.662649686689733,0.7845934333909813,0.8552721274251028,0.1987535943577969,0.5993767971788959,19.1279845505618,0.7525618646205594,0.6027082347358494,0.7845934333909813,0.8552721274251028,0.1987535943577969,0.5993767971788959,19.1279845505618
Qwen3-VL-8B,5521,0.7601973438145607,0.7601973438145607,0.9545961514079859,0.6804888013536174,0.17195174756947454,0.5859758737847348,8.5066111211737,0.7601973438145607,0.7287758520095836,0.9545961514079859,0.6804888013536174,0.17195174756947454,0.5859758737847348,8.5066111211737,0.7601973438145607,0.6973543602046117,0.9545961514079859,0.6804888013536174,0.17195174756947454,0.5859758737847348,8.5066111211737,0.7601973438145607,0.6659328683996394,0.9545961514079859,0.6804888013536174,0.17195174756947454,0.5859758737847348,8.5066111211737,0.7601973438145607,0.6030898847896986,0.9545961514079859,0.6804888013536174,0.17195174756947454,0.5859758737847348,8.5066111211737
Qwen3-VL-32B,5762,0.793576239665015,0.793576239665015,0.9061109508825199,0.7782394159242744,0.17416046290126214,0.5870802314506265,11.679451579312738,0.793576239665015,0.7607310186510904,0.9061109508825199,0.7782394159242744,0.17416046290126214,0.5870802314506265,11.679451579312738,0.793576239665015,0.727885797637158,0.9061109508825199,0.7782394159242744,0.17416046290126214,0.5870802314506265,11.679451579312738,0.793576239665015,0.6950405766232325,0.9061109508825199,0.7782394159242744,0.17416046290126214,0.5870802314506265,11.679451579312738,0.793576239665015,0.6293501345953735,0.9061109508825199,0.7782394159242744,0.17416046290126214,0.5870802314506265,11.679451579312738
Qwen2.5-VL-32B,6073,0.6845766960100226,0.6845766960100226,0.9896680527447179,0.5493494388930695,0.16938376539827704,0.5846918826991382,6.151325539272189,0.6845766960100226,0.6561185999928855,0.9896680527447179,0.5493494388930695,0.16938376539827704,0.5846918826991382,6.151325539272189,0.6845766960100226,0.627660503975747,0.9896680527447179,0.5493494388930695,0.16938376539827704,0.5846918826991382,6.151325539272189,0.6845766960100226,0.5992024079586109,0.9896680527447179,0.5493494388930695,0.16938376539827704,0.5846918826991382,6.151325539272189,0.6845766960100226,0.5422862159243436,0.9896680527447179,0.5493494388930695,0.16938376539827704,0.5846918826991382,6.151325539272189
Qwen3-VL-2B,4799,0.7899675088206046,0.7899675088206046,0.9634310539573097,0.7108834073601129,0.17074358297408557,0.58537179148704,7.887268180871015,0.7899675088206046,0.7572834140040713,0.9634310539573097,0.7108834073601129,0.17074358297408557,0.58537179148704,7.887268180871015,0.7899675088206046,0.7245993191875367,0.9634310539573097,0.7108834073601129,0.17074358297408557,0.58537179148704,7.887268180871015,0.7899675088206046,0.6919152243710031,0.9634310539573097,0.7108834073601129,0.17074358297408557,0.58537179148704,7.887268180871015,0.7899675088206046,0.626547034737942,0.9634310539573097,0.7108834073601129,0.17074358297408557,0.58537179148704,7.887268180871015
Qwen2.5-VL-7B,4914,0.6164540849920717,0.6164540849920717,0.9916182249512251,0.4736954883893933,0.1745507071927382,0.5872753535963691,5.271265771265771,0.6164540849920717,0.5910825420888485,0.9916182249512251,0.4736954883893933,0.1745507071927382,0.5872753535963691,5.271265771265771,0.6164540849920717,0.5657109991856287,0.9916182249512251,0.4736954883893933,0.1745507071927382,0.5872753535963691,5.271265771265771,0.6164540849920717,0.5403394562824072,0.9916182249512251,0.4736954883893933,0.1745507071927382,0.5872753535963691,5.271265771265771,0.6164540849920717,0.4895963704759661,0.9916182249512251,0.4736954883893933,0.1745507071927382,0.5872753535963691,5.271265771265771
Qwen2.5-VL-3B,5761,0.5310823269858755,0.5310823269858755,0.9935544358723007,0.3833945553276015,0.22053572294900892,0.6102678614745031,4.127582017010935,0.5310823269858755,0.5103550933979975,0.9935544358723007,0.3833945553276015,0.22053572294900892,0.6102678614745031,4.127582017010935,0.5310823269858755,0.48962785981012297,0.9935544358723007,0.3833945553276015,0.22053572294900892,0.6102678614745031,4.127582017010935,0.5310823269858755,0.4689006262222446,0.9935544358723007,0.3833945553276015,0.22053572294900892,0.6102678614745031,4.127582017010935,0.5310823269858755,0.4274461590464882,0.9935544358723007,0.3833945553276015,0.22053572294900892,0.6102678614745031,4.127582017010935
