sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,1.0,0.05555555555555555,0.5277777777777778,0.4444444444444444,1.0,1.0,9,9,9
1,0.8,0.6,0.8,0.8333333333333334,1.0,0.6666666666666666,6,9,6
2,0.9333333333333333,0.42857142857142855,0.7142857142857143,0.5714285714285714,1.0,0.875,7,8,7
3,1.0,-0.2,0.4,0.5,1.0,1.0,6,6,6
4,0.7692307692307693,0.2,0.6,0.6,1.0,0.625,5,8,5
5,1.0,0.6190476190476191,0.8095238095238095,0.5714285714285714,1.0,1.0,7,7,7
6,0.8,0.0,0.5,0.75,1.0,0.6666666666666666,4,6,4
7,0.8571428571428571,0.7333333333333333,0.8666666666666667,0.8333333333333334,1.0,0.75,6,8,6
8,0.9090909090909091,-0.2,0.4,0.4,0.8333333333333334,1.0,6,5,5
9,0.9090909090909091,0.8,0.9,0.8,0.8333333333333334,1.0,6,5,5
10,0.9090909090909091,0.6,0.8,0.6,1.0,0.8333333333333334,5,6,5
11,1.0,0.06666666666666667,0.5333333333333333,0.5,1.0,1.0,6,6,6
12,0.9090909090909091,0.2,0.6,0.6,1.0,0.8333333333333334,5,6,5
13,0.923076923076923,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.8571428571428571,6,7,6
14,0.9090909090909091,-0.2,0.4,0.6,1.0,0.8333333333333334,5,6,5
15,0.9090909090909091,0.8,0.9,0.8,1.0,0.8333333333333334,5,6,5
16,1.0,0.4,0.7,0.6,1.0,1.0,5,5,5
17,1.0,0.06666666666666667,0.5333333333333333,0.5,1.0,1.0,6,6,6
18,0.9090909090909091,0.4,0.7,0.6,0.8333333333333334,1.0,6,5,5
19,0.9090909090909091,-0.4,0.3,0.4,1.0,0.8333333333333334,5,6,5
20,0.9090909090909091,0.0,0.5,0.6,0.8333333333333334,1.0,6,5,5
21,0.923076923076923,0.4666666666666667,0.7333333333333334,0.6666666666666666,0.8571428571428571,1.0,7,6,6
