sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,3,9,3
1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
2,0.7692307692307693,-0.6,0.2,0.4,1.0,0.625,5,8,5
3,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
4,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
5,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
6,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
7,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
8,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
9,0.7499999999999999,-1.0,0.0,0.3333333333333333,1.0,0.6,3,5,3
10,0.6666666666666666,-1.0,0.0,0.3333333333333333,1.0,0.5,3,6,3
11,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
12,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
13,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
14,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
15,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
16,0.7499999999999999,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.6,3,5,3
17,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
18,0.888888888888889,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.8,4,5,4
19,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
20,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
21,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
22,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
23,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
24,0.4,1.0,1.0,1.0,1.0,0.25,2,8,2
25,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
26,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
27,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
28,0.5714285714285715,-1.0,0.0,0.5,1.0,0.4,2,5,2
29,0.6153846153846153,0.0,0.5,0.5,1.0,0.4444444444444444,4,9,4
30,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
31,1.0,0.6666666666666666,0.8333333333333333,0.75,1.0,1.0,4,4,4
32,0.5714285714285715,1.0,1.0,1.0,1.0,0.4,2,5,2
33,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
34,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
35,0.888888888888889,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.8,4,5,4
