sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.9473684210526316,0.5,0.75,0.6666666666666666,0.9,1.0,10,9,9
1,0.9411764705882353,0.5714285714285714,0.7857142857142857,0.625,1.0,0.8888888888888888,8,9,8
2,0.9411764705882353,0.0,0.5,0.375,0.8888888888888888,1.0,9,8,8
3,1.0,-0.06666666666666667,0.4666666666666667,0.5,1.0,1.0,6,6,6
4,0.9411764705882353,0.2857142857142857,0.6428571428571428,0.5,0.8888888888888888,1.0,9,8,8
5,0.8750000000000001,-0.14285714285714285,0.4285714285714286,0.5714285714285714,0.7777777777777778,1.0,9,7,7
6,0.923076923076923,0.2,0.6,0.6666666666666666,0.8571428571428571,1.0,7,6,6
7,0.8571428571428571,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.75,6,8,6
8,0.7692307692307693,0.2,0.6,0.6,0.625,1.0,8,5,5
9,1.0,0.4,0.7,0.6,1.0,1.0,5,5,5
10,0.8,-0.06666666666666667,0.4666666666666667,0.6666666666666666,0.6666666666666666,1.0,9,6,6
11,0.8571428571428571,-0.06666666666666667,0.4666666666666667,0.6666666666666666,0.75,1.0,8,6,6
12,0.923076923076923,0.2,0.6,0.5,0.8571428571428571,1.0,7,6,6
13,0.8333333333333333,0.2,0.6,0.6,1.0,0.7142857142857143,5,7,5
14,0.8571428571428571,-0.06666666666666667,0.4666666666666667,0.5,0.75,1.0,8,6,6
15,1.0,0.06666666666666667,0.5333333333333333,0.5,1.0,1.0,6,6,6
16,0.888888888888889,0.6666666666666666,0.8333333333333333,0.75,1.0,0.8,4,5,4
17,0.923076923076923,0.4666666666666667,0.7333333333333334,0.6666666666666666,0.8571428571428571,1.0,7,6,6
18,0.8333333333333333,-0.2,0.4,0.4,0.7142857142857143,1.0,7,5,5
19,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
20,0.7692307692307693,-0.2,0.4,0.6,0.625,1.0,8,5,5
21,0.9090909090909091,0.2,0.6,0.6,1.0,0.8333333333333334,5,6,5
22,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
23,0.9090909090909091,-0.4,0.3,0.4,1.0,0.8333333333333334,5,6,5
24,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
25,0.8,-0.3333333333333333,0.33333333333333337,0.5,0.6666666666666666,1.0,9,6,6
26,0.923076923076923,0.06666666666666667,0.5333333333333333,0.6666666666666666,0.8571428571428571,1.0,7,6,6
27,0.8750000000000001,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.7777777777777778,1.0,9,7,7
28,0.8333333333333333,0.2,0.6,0.6,0.7142857142857143,1.0,7,5,5
29,0.8,0.06666666666666667,0.5333333333333333,0.5,1.0,0.6666666666666666,6,9,6
30,0.8571428571428571,-0.3333333333333333,0.33333333333333337,0.5,0.75,1.0,8,6,6
31,0.8,0.3333333333333333,0.6666666666666666,0.75,0.6666666666666666,1.0,6,4,4
32,0.5,0.0,0.5,0.6,0.3333333333333333,1.0,15,5,5
33,0.888888888888889,0.3333333333333333,0.6666666666666666,0.75,1.0,0.8,4,5,4
34,0.8571428571428571,-0.06666666666666667,0.4666666666666667,0.5,0.75,1.0,8,6,6
35,0.9090909090909091,-0.2,0.4,0.6,0.8333333333333334,1.0,6,5,5
36,0.923076923076923,-0.06666666666666667,0.4666666666666667,0.5,1.0,0.8571428571428571,6,7,6
37,1.0,-0.047619047619047616,0.47619047619047616,0.42857142857142855,1.0,1.0,7,7,7
38,0.9090909090909091,0.4,0.7,0.6,0.8333333333333334,1.0,6,5,5
39,0.8333333333333333,-0.2,0.4,0.4,1.0,0.7142857142857143,5,7,5
40,0.8571428571428571,0.4666666666666667,0.7333333333333334,0.6666666666666666,0.75,1.0,8,6,6
41,0.7777777777777778,-0.14285714285714285,0.4285714285714286,0.42857142857142855,0.6363636363636364,1.0,11,7,7
42,0.8333333333333333,0.6,0.8,0.6,1.0,0.7142857142857143,5,7,5
43,0.923076923076923,0.4666666666666667,0.7333333333333334,0.5,1.0,0.8571428571428571,6,7,6
44,0.923076923076923,0.2,0.6,0.6666666666666666,0.8571428571428571,1.0,7,6,6
45,0.923076923076923,0.06666666666666667,0.5333333333333333,0.6666666666666666,1.0,0.8571428571428571,6,7,6
46,1.0,-0.23809523809523808,0.38095238095238093,0.42857142857142855,1.0,1.0,7,7,7
47,0.8,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.6666666666666666,4,6,4
48,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
49,0.9411764705882353,0.0,0.5,0.5,0.8888888888888888,1.0,9,8,8
50,0.888888888888889,0.0,0.5,0.5,1.0,0.8,4,5,4
51,0.9090909090909091,-0.2,0.4,0.6,0.8333333333333334,1.0,6,5,5
52,0.9090909090909091,-0.2,0.4,0.6,0.8333333333333334,1.0,6,5,5
53,0.8571428571428571,0.06666666666666667,0.5333333333333333,0.5,0.75,1.0,8,6,6
54,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.75,6,8,6
55,0.8571428571428571,0.2,0.6,0.6666666666666666,1.0,0.75,6,8,6
56,0.9333333333333333,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,0.875,7,8,7
57,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
58,0.7692307692307693,-0.4,0.3,0.4,1.0,0.625,5,8,5
59,1.0,0.21428571428571427,0.6071428571428571,0.625,1.0,1.0,8,8,8
60,1.0,-0.07142857142857142,0.4642857142857143,0.5,1.0,1.0,8,8,8
61,0.7692307692307693,-0.2,0.4,0.4,1.0,0.625,5,8,5
62,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
63,0.6666666666666666,0.0,0.5,0.75,1.0,0.5,4,8,4
64,0.33333333333333337,1.0,1.0,1.0,0.2,1.0,5,1,1
65,0.8571428571428571,0.6,0.8,0.6666666666666666,1.0,0.75,6,8,6
66,0.8571428571428571,-0.6,0.2,0.5,1.0,0.75,6,8,6
67,0.6666666666666666,0.0,0.5,0.75,1.0,0.5,4,8,4
68,0.8571428571428571,0.2,0.6,0.5,1.0,0.75,6,8,6
69,0.6153846153846153,0.35714285714285715,0.6785714285714286,0.5,0.4444444444444444,1.0,18,8,8
70,0.9333333333333333,-0.047619047619047616,0.47619047619047616,0.5714285714285714,1.0,0.875,7,8,7
71,0.888888888888889,0.14285714285714285,0.5714285714285714,0.5,0.8,1.0,10,8,8
72,0.7692307692307693,0.0,0.5,0.6,1.0,0.625,5,8,5
73,0.8571428571428571,0.2,0.6,0.6666666666666666,1.0,0.75,6,8,6
74,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
75,0.7692307692307693,0.8,0.9,0.8,1.0,0.625,5,8,5
76,1.0,0.5,0.75,0.5555555555555556,1.0,1.0,9,9,9
77,0.8750000000000001,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,0.7777777777777778,7,9,7
78,0.888888888888889,0.42857142857142855,0.7142857142857143,0.625,0.8,1.0,10,8,8
79,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
80,0.9333333333333333,-0.3333333333333333,0.33333333333333337,0.42857142857142855,1.0,0.875,7,8,7
81,0.9411764705882353,0.42857142857142855,0.7142857142857143,0.625,1.0,0.8888888888888888,8,9,8
82,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
83,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
84,0.7142857142857143,0.2,0.6,0.8,1.0,0.5555555555555556,5,9,5
85,0.7142857142857143,0.2,0.6,0.6,1.0,0.5555555555555556,5,9,5
86,0.888888888888889,0.21428571428571427,0.6071428571428571,0.5,0.8,1.0,10,8,8
87,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
88,0.6666666666666666,0.0,0.5,0.75,1.0,0.5,4,8,4
89,0.8571428571428571,-0.4666666666666667,0.26666666666666666,0.3333333333333333,1.0,0.75,6,8,6
90,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
91,0.888888888888889,0.07142857142857142,0.5357142857142857,0.625,0.8,1.0,10,8,8
92,0.8571428571428571,-0.06666666666666667,0.4666666666666667,0.3333333333333333,1.0,0.75,6,8,6
93,0.7692307692307693,0.8,0.9,0.8,1.0,0.625,5,8,5
94,1.0,0.5714285714285714,0.7857142857142857,0.75,1.0,1.0,8,8,8
95,0.923076923076923,-0.06666666666666667,0.4666666666666667,0.5,1.0,0.8571428571428571,6,7,6
96,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
97,0.9411764705882353,-0.14285714285714285,0.4285714285714286,0.375,0.8888888888888888,1.0,9,8,8
98,0.7692307692307693,1.0,1.0,1.0,1.0,0.625,5,8,5
99,0.7692307692307693,0.2,0.6,0.6,1.0,0.625,5,8,5
100,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
101,1.0,0.5,0.75,0.625,1.0,1.0,8,8,8
102,0.6666666666666666,0.0,0.5,0.75,1.0,0.5,4,8,4
103,0.7692307692307693,0.4,0.7,0.6,1.0,0.625,5,8,5
104,0.7692307692307693,0.8,0.9,0.8,1.0,0.625,5,8,5
105,0.8571428571428571,0.2,0.6,0.5,1.0,0.75,6,8,6
106,0.8,-0.14285714285714285,0.4285714285714286,0.5,0.6666666666666666,1.0,12,8,8
107,0.8750000000000001,0.5238095238095238,0.7619047619047619,0.7142857142857143,1.0,0.7777777777777778,7,9,7
108,0.8,0.4666666666666667,0.7333333333333334,0.8333333333333334,1.0,0.6666666666666666,6,9,6
109,0.9333333333333333,-0.047619047619047616,0.47619047619047616,0.42857142857142855,1.0,0.875,7,8,7
110,0.7692307692307693,-0.6,0.2,0.4,1.0,0.625,5,8,5
111,0.6666666666666666,0.0,0.5,0.5,0.5,1.0,16,8,8
112,0.9333333333333333,0.7142857142857143,0.8571428571428572,0.7142857142857143,1.0,0.875,7,8,7
113,0.7692307692307693,-0.2,0.4,0.6,1.0,0.625,5,8,5
114,0.8571428571428571,0.06666666666666667,0.5333333333333333,0.5,1.0,0.75,6,8,6
115,0.9333333333333333,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.875,1.0,8,7,7
116,0.888888888888889,0.14285714285714285,0.5714285714285714,0.5,0.8,1.0,10,8,8
117,0.9333333333333333,0.5238095238095238,0.7619047619047619,0.5714285714285714,1.0,0.875,7,8,7
118,0.8,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,6,9,6
119,0.8750000000000001,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,0.7777777777777778,7,9,7
120,0.8,-0.07142857142857142,0.4642857142857143,0.375,0.6666666666666666,1.0,12,8,8
121,0.9333333333333333,0.5238095238095238,0.7619047619047619,0.7142857142857143,1.0,0.875,7,8,7
122,0.8571428571428571,0.2,0.6,0.6666666666666666,1.0,0.75,6,8,6
123,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
124,0.888888888888889,0.2857142857142857,0.6428571428571428,0.5,1.0,0.8,8,10,8
125,1.0,0.21428571428571427,0.6071428571428571,0.375,1.0,1.0,8,8,8
126,0.8571428571428571,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.75,6,8,6
127,0.9411764705882353,0.07142857142857142,0.5357142857142857,0.5,0.8888888888888888,1.0,9,8,8
128,0.9411764705882353,0.5714285714285714,0.7857142857142857,0.625,1.0,0.8888888888888888,8,9,8
129,0.7692307692307693,0.8,0.9,0.8,1.0,0.625,5,8,5
130,0.9411764705882353,0.42857142857142855,0.7142857142857143,0.75,0.8888888888888888,1.0,9,8,8
131,0.9333333333333333,0.14285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.875,7,8,7
132,0.9333333333333333,0.42857142857142855,0.7142857142857143,0.5714285714285714,1.0,0.875,7,8,7
133,0.7692307692307693,0.022222222222222223,0.5111111111111111,0.4,1.0,0.625,10,16,10
134,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
135,0.9411764705882353,0.2857142857142857,0.6428571428571428,0.5,0.8888888888888888,1.0,9,8,8
136,0.8750000000000001,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,0.7777777777777778,7,9,7
137,0.9333333333333333,0.9047619047619048,0.9523809523809523,0.8571428571428571,1.0,0.875,7,8,7
138,0.8750000000000001,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,0.7777777777777778,7,9,7
139,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
140,0.9333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,1.0,0.875,7,8,7
141,0.8,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.6666666666666666,6,9,6
142,0.8571428571428571,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.75,6,8,6
143,0.9,-0.16666666666666666,0.4166666666666667,0.4444444444444444,0.8181818181818182,1.0,11,9,9
144,1.0,0.7222222222222222,0.8611111111111112,0.6666666666666666,1.0,1.0,9,9,9
145,0.9411764705882353,0.5714285714285714,0.7857142857142857,0.75,0.8888888888888888,1.0,9,8,8
146,0.8571428571428571,0.5,0.75,0.5555555555555556,0.75,1.0,12,9,9
147,0.7692307692307693,-0.2,0.4,0.4,1.0,0.625,5,8,5
