sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.7142857142857143,0.2,0.6,0.4,1.0,0.5555555555555556,5,9,5
1,0.7142857142857143,-0.2,0.4,0.4,1.0,0.5555555555555556,5,9,5
2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
3,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
4,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
5,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
6,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
7,0.6666666666666666,0.0,0.5,0.5,1.0,0.5,4,8,4
8,0.888888888888889,0.6666666666666666,0.8333333333333333,0.75,1.0,0.8,4,5,4
9,1.0,0.4,0.7,0.8,1.0,1.0,5,5,5
10,0.9090909090909091,0.6,0.8,0.8,1.0,0.8333333333333334,5,6,5
11,0.8,0.3333333333333333,0.6666666666666666,0.75,1.0,0.6666666666666666,4,6,4
12,0.9090909090909091,-0.6,0.2,0.4,1.0,0.8333333333333334,5,6,5
13,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
14,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
15,0.9090909090909091,0.4,0.7,0.6,1.0,0.8333333333333334,5,6,5
16,0.888888888888889,0.0,0.5,0.5,1.0,0.8,4,5,4
17,0.9090909090909091,0.4,0.7,0.8,1.0,0.8333333333333334,5,6,5
18,1.0,0.6,0.8,0.6,1.0,1.0,5,5,5
19,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
20,0.888888888888889,0.6666666666666666,0.8333333333333333,0.75,1.0,0.8,4,5,4
21,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
22,0.7692307692307693,0.0,0.5,0.4,1.0,0.625,5,8,5
23,0.8,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,4,6,4
24,0.7692307692307693,0.2,0.6,0.6,1.0,0.625,5,8,5
25,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,6,6,6
26,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
27,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
28,1.0,0.2,0.6,0.6,1.0,1.0,5,5,5
29,0.7142857142857143,0.0,0.5,0.6,1.0,0.5555555555555556,5,9,5
30,0.8,0.6666666666666666,0.8333333333333333,0.75,1.0,0.6666666666666666,4,6,4
31,1.0,0.6666666666666666,0.8333333333333333,0.75,1.0,1.0,4,4,4
32,1.0,0.6,0.8,0.8,1.0,1.0,5,5,5
33,0.7499999999999999,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.6,3,5,3
34,0.9090909090909091,0.4,0.7,0.6,1.0,0.8333333333333334,5,6,5
35,0.9090909090909091,0.8,0.9,0.8,0.8333333333333334,1.0,6,5,5
36,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
37,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
38,1.0,0.0,0.5,0.4,1.0,1.0,5,5,5
39,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
40,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
41,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
42,0.7272727272727273,-0.6666666666666666,0.16666666666666669,0.5,1.0,0.5714285714285714,4,7,4
43,0.7272727272727273,0.0,0.5,0.5,1.0,0.5714285714285714,4,7,4
44,0.9090909090909091,0.0,0.5,0.6,1.0,0.8333333333333334,5,6,5
45,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5714285714285714,4,7,4
46,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
47,0.9090909090909091,-0.6,0.2,0.4,1.0,0.8333333333333334,5,6,5
48,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5714285714285714,4,7,4
49,0.6666666666666666,-1.0,0.0,0.25,1.0,0.5,4,8,4
50,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
51,0.888888888888889,0.3333333333333333,0.6666666666666666,0.75,1.0,0.8,4,5,4
52,1.0,-0.6,0.2,0.4,1.0,1.0,5,5,5
53,0.9090909090909091,0.4,0.7,0.8,1.0,0.8333333333333334,5,6,5
