sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,3,9,3
1,0.6153846153846153,1.0,1.0,1.0,1.0,0.4444444444444444,4,9,4
2,0.7692307692307693,0.2,0.6,0.8,1.0,0.625,5,8,5
3,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
4,0.4,1.0,1.0,1.0,1.0,0.25,2,8,2
5,0.8333333333333333,0.0,0.5,0.6,1.0,0.7142857142857143,5,7,5
6,0.8,0.3333333333333333,0.6666666666666666,0.75,1.0,0.6666666666666666,4,6,4
7,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5,4,8,4
8,1.0,0.0,0.5,0.4,1.0,1.0,5,5,5
9,0.7499999999999999,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.6,3,5,3
10,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
11,0.8,0.0,0.5,0.75,1.0,0.6666666666666666,4,6,4
12,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
13,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
14,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
15,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
16,0.5714285714285715,1.0,1.0,1.0,1.0,0.4,2,5,2
17,0.8,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,4,6,4
18,0.888888888888889,0.3333333333333333,0.6666666666666666,0.75,1.0,0.8,4,5,4
19,0.9090909090909091,0.0,0.5,0.6,1.0,0.8333333333333334,5,6,5
20,0.888888888888889,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.8,4,5,4
21,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
22,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
23,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
25,0.8,0.6666666666666666,0.8333333333333333,0.75,1.0,0.6666666666666666,4,6,4
26,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
27,0.8333333333333333,0.2,0.6,0.6,1.0,0.7142857142857143,5,7,5
28,0.888888888888889,0.6666666666666666,0.8333333333333333,0.75,1.0,0.8,4,5,4
29,0.6153846153846153,0.6666666666666666,0.8333333333333333,0.75,1.0,0.4444444444444444,4,9,4
30,0.5,-1.0,0.0,0.5,1.0,0.3333333333333333,2,6,2
31,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,3,4,3
32,0.5714285714285715,1.0,1.0,1.0,1.0,0.4,2,5,2
33,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,3,5,3
34,1.0,0.6,0.8,0.6666666666666666,1.0,1.0,6,6,6
35,0.888888888888889,0.0,0.5,0.75,1.0,0.8,4,5,4
36,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,3,7,3
37,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
38,0.7499999999999999,-1.0,0.0,0.3333333333333333,1.0,0.6,3,5,3
39,0.7272727272727273,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5714285714285714,4,7,4
40,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
41,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
42,0.8333333333333333,0.4,0.7,0.6,1.0,0.7142857142857143,5,7,5
43,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1,7,1
44,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
45,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5714285714285714,4,7,4
46,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5714285714285714,4,7,4
47,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
48,0.4444444444444445,1.0,1.0,1.0,1.0,0.2857142857142857,2,7,2
49,0.5454545454545454,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.375,3,8,3
50,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
51,0.5714285714285715,-1.0,0.0,0.5,1.0,0.4,2,5,2
52,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
53,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,3,6,3
54,0.5454545454545454,1.0,1.0,1.0,1.0,0.375,3,8,3
55,0.4,1.0,1.0,1.0,1.0,0.25,2,8,2
