sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.7142857142857143,0.0,0.5,0.6,1.0,0.5555555555555556,5,9,5
1,0.7142857142857143,0.2,0.6,0.6,1.0,0.5555555555555556,5,9,5
2,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
3,0.9090909090909091,0.4,0.7,0.6,1.0,0.8333333333333334,5,6,5
4,0.2222222222222222,1.0,1.0,1.0,1.0,0.125,1,8,1
5,0.8235294117647058,0.047619047619047616,0.5238095238095238,0.42857142857142855,0.7,1.0,10,7,7
6,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.5,3,6,3
7,0.2222222222222222,1.0,1.0,1.0,1.0,0.125,1,8,1
8,1.0,0.2,0.6,0.8,1.0,1.0,5,5,5
9,0.0,1.0,1.0,1.0,0.0,0.0,0,5,0
10,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
11,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
12,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
13,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
14,0.6666666666666666,-1.0,0.0,0.3333333333333333,1.0,0.5,3,6,3
15,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
16,1.0,0.8,0.9,0.8,1.0,1.0,5,5,5
17,0.8,0.6666666666666666,0.8333333333333333,0.75,1.0,0.6666666666666666,4,6,4
18,1.0,-0.2,0.4,0.6,1.0,1.0,5,5,5
19,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
20,0.888888888888889,0.0,0.5,0.5,1.0,0.8,4,5,4
21,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
22,0.2222222222222222,1.0,1.0,1.0,1.0,0.125,1,8,1
23,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
24,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
25,0.9090909090909091,0.6,0.8,0.8,1.0,0.8333333333333334,5,6,5
26,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
27,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
28,0.8333333333333333,0.0,0.5,0.6,0.7142857142857143,1.0,7,5,5
29,0.0,1.0,1.0,1.0,0.0,0.0,0,9,0
30,0.2857142857142857,1.0,1.0,1.0,1.0,0.16666666666666666,1,6,1
31,0.0,1.0,1.0,1.0,0.0,0.0,0,4,0
32,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,1,5,1
33,0.0,1.0,1.0,1.0,0.0,0.0,0,5,0
34,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
35,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
36,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
37,0.25,1.0,1.0,1.0,1.0,0.14285714285714285,1,7,1
38,1.0,0.4,0.7,0.6,1.0,1.0,5,5,5
39,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
40,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,2,6,2
41,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
42,0.8333333333333333,0.4,0.7,0.8,1.0,0.7142857142857143,5,7,5
43,0.0,1.0,1.0,1.0,0.0,0.0,0,7,0
44,0.0,1.0,1.0,1.0,0.0,0.0,0,6,0
45,0.6,-0.3333333333333333,0.33333333333333337,0.6666666666666666,1.0,0.42857142857142855,3,7,3
