sample_idx,match_f1,kendall_tau,tau_normalized,lis_ratio,precision,recall,num_predicted_steps,num_reference_steps,num_matched
0,0.9411764705882353,0.14285714285714285,0.5714285714285714,0.625,1.0,0.8888888888888888,8,9,8
1,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,3,9,3
2,0.7692307692307693,0.4,0.7,0.6,1.0,0.625,5,8,5
3,0.923076923076923,-0.06666666666666667,0.4666666666666667,0.5,0.8571428571428571,1.0,7,6,6
4,0.6399999999999999,-0.21428571428571427,0.39285714285714285,0.375,0.47058823529411764,1.0,17,8,8
5,0.6,-1.0,0.0,0.3333333333333333,1.0,0.42857142857142855,3,7,3
6,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,3,6,3
7,0.7692307692307693,0.2,0.6,0.6,1.0,0.625,5,8,5
8,1.0,-0.2,0.4,0.4,1.0,1.0,5,5,5
9,0.9090909090909091,0.2,0.6,0.6,0.8333333333333334,1.0,6,5,5
10,0.8,0.0,0.5,0.75,1.0,0.6666666666666666,4,6,4
11,0.9090909090909091,0.8,0.9,0.8,1.0,0.8333333333333334,5,6,5
12,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,6,6,6
13,0.923076923076923,-0.06666666666666667,0.4666666666666667,0.5,1.0,0.8571428571428571,6,7,6
14,0.923076923076923,0.06666666666666667,0.5333333333333333,0.6666666666666666,0.8571428571428571,1.0,7,6,6
15,0.923076923076923,0.8666666666666667,0.9333333333333333,0.8333333333333334,0.8571428571428571,1.0,7,6,6
16,1.0,0.6,0.8,0.6,1.0,1.0,5,5,5
17,1.0,-0.4666666666666667,0.26666666666666666,0.3333333333333333,1.0,1.0,6,6,6
18,1.0,0.6,0.8,0.8,1.0,1.0,5,5,5
19,0.8,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.6666666666666666,4,6,4
20,1.0,0.0,0.5,0.6,1.0,1.0,5,5,5
21,0.9090909090909091,0.2,0.6,0.4,1.0,0.8333333333333334,5,6,5
22,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
23,0.8,0.6666666666666666,0.8333333333333333,0.75,1.0,0.6666666666666666,4,6,4
24,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
25,0.9090909090909091,0.6,0.8,0.8,1.0,0.8333333333333334,5,6,5
26,0.9090909090909091,0.0,0.5,0.6,1.0,0.8333333333333334,5,6,5
27,0.8333333333333333,0.6,0.8,0.8,1.0,0.7142857142857143,5,7,5
28,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5
29,0.7142857142857143,0.2,0.6,0.8,1.0,0.5555555555555556,5,9,5
30,0.9090909090909091,0.6,0.8,0.6,1.0,0.8333333333333334,5,6,5
31,0.888888888888889,0.0,0.5,0.75,0.8,1.0,5,4,4
32,1.0,0.6,0.8,0.8,1.0,1.0,5,5,5
33,0.7499999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6,3,5,3
34,0.9090909090909091,0.4,0.7,0.6,1.0,0.8333333333333334,5,6,5
35,0.9090909090909091,-0.6,0.2,0.4,0.8333333333333334,1.0,6,5,5
36,0.8333333333333333,-1.0,0.0,0.2,1.0,0.7142857142857143,5,7,5
37,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5714285714285714,4,7,4
38,1.0,-0.4,0.3,0.4,1.0,1.0,5,5,5
39,0.8333333333333333,0.4,0.7,0.8,1.0,0.7142857142857143,5,7,5
40,0.8,0.0,0.5,0.5,1.0,0.6666666666666666,4,6,4
41,0.923076923076923,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.8571428571428571,6,7,6
42,0.6,1.0,1.0,1.0,1.0,0.42857142857142855,3,7,3
43,0.8333333333333333,-0.2,0.4,0.4,1.0,0.7142857142857143,5,7,5
44,0.923076923076923,-0.3333333333333333,0.33333333333333337,0.5,0.8571428571428571,1.0,7,6,6
45,0.8333333333333333,0.8,0.9,0.8,1.0,0.7142857142857143,5,7,5
46,0.8333333333333333,0.0,0.5,0.6,1.0,0.7142857142857143,5,7,5
47,0.8,0.3333333333333333,0.6666666666666666,0.75,1.0,0.6666666666666666,4,6,4
48,0.7272727272727273,-0.3333333333333333,0.33333333333333337,0.5,1.0,0.5714285714285714,4,7,4
49,0.0,1.0,1.0,1.0,0.0,0.0,0,8,0
50,1.0,0.2,0.6,0.6,1.0,1.0,5,5,5
51,0.888888888888889,0.3333333333333333,0.6666666666666666,0.75,1.0,0.8,4,5,4
52,1.0,0.0,0.5,0.6,1.0,1.0,5,5,5
53,0.9090909090909091,0.8,0.9,0.8,1.0,0.8333333333333334,5,6,5
54,0.8571428571428571,0.06666666666666667,0.5333333333333333,0.3333333333333333,1.0,0.75,6,8,6
55,0.6666666666666666,0.0,0.5,0.75,1.0,0.5,4,8,4
56,0.8571428571428571,0.4666666666666667,0.7333333333333334,0.8333333333333334,1.0,0.75,6,8,6
57,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
58,0.7692307692307693,0.0,0.5,0.4,1.0,0.625,5,8,5
59,0.8571428571428571,0.2,0.6,0.5,1.0,0.75,6,8,6
60,0.7692307692307693,0.6,0.8,0.6,1.0,0.625,5,8,5
61,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,1.0,0.5,4,8,4
62,0.7692307692307693,1.0,1.0,1.0,1.0,0.625,5,8,5
63,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,4,8,4
64,0.4,1.0,1.0,1.0,0.25,1.0,4,1,1
65,0.7692307692307693,0.4,0.7,0.8,1.0,0.625,5,8,5
66,0.8571428571428571,0.06666666666666667,0.5333333333333333,0.5,1.0,0.75,6,8,6
67,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.75,1.0,0.5,4,8,4
68,0.8571428571428571,0.06666666666666667,0.5333333333333333,0.6666666666666666,1.0,0.75,6,8,6
69,1.0,0.14285714285714285,0.5714285714285714,0.625,1.0,1.0,8,8,8
70,0.7692307692307693,-0.6,0.2,0.4,1.0,0.625,5,8,5
71,0.7692307692307693,0.6,0.8,0.8,1.0,0.625,5,8,5
72,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.375,3,8,3
73,0.9333333333333333,0.23809523809523808,0.6190476190476191,0.5714285714285714,1.0,0.875,7,8,7
74,1.0,0.4666666666666667,0.7333333333333334,0.6666666666666666,1.0,1.0,6,6,6
75,0.7692307692307693,0.0,0.5,0.6,1.0,0.625,5,8,5
76,0.7142857142857143,0.4,0.7,0.6,1.0,0.5555555555555556,5,9,5
77,0.7142857142857143,0.4,0.7,0.6,1.0,0.5555555555555556,5,9,5
78,0.7692307692307693,0.4,0.7,0.8,1.0,0.625,5,8,5
