model,total_evaluated,match_f1,kendall_tau,tau_norm,lis_ratio,precision,recall,avg_steps,avg_matched,ordered_f1_kt_a0.00,ordered_f1_lis_a0.00,ordered_f1_kt_a0.10,ordered_f1_lis_a0.10,ordered_f1_kt_a0.20,ordered_f1_lis_a0.20,ordered_f1_kt_a0.30,ordered_f1_lis_a0.30,ordered_f1_kt_a0.50,ordered_f1_lis_a0.50
GPT-5,6372,0.6122498628989004,0.22550705000322524,0.6127535250016126,0.635879988058522,0.9253225617691011,0.47888973194620144,5.285153797865663,5.231638418079096,0.6122498628989004,0.6122498628989004,0.5868076693418575,0.5878428934302713,0.5613654757848145,0.5634359239616421,0.5359232822277715,0.539028954493013,0.4850388951136856,0.4902150155557547
GPT-5-mini,6372,0.7732513822298521,0.17158361638896644,0.5857918081944832,0.559704907448628,0.9783908173600974,0.6694365379807556,7.567953546767106,7.351537978656623,0.7732513822298521,0.7732513822298521,0.7412708535078055,0.738903896425582,0.7092903247857589,0.7045564106213119,0.6773097960637122,0.6702089248170419,0.6133487386196189,0.6015139532085018
GPT-5.2 Instant,6372,0.5641645865854885,0.1600188921330759,0.5800094460665379,0.6475424145151075,0.974307445910546,0.4156961604848412,4.639202762084118,4.608286252354049,0.5641645865854885,0.5641645865854885,0.5399415284369671,0.5432137516416983,0.5157184702884455,0.522262916697908,0.4914954121399241,0.5013120817541177,0.44304929584288116,0.4594104118665372
Gemini 2.5 Flash,6372,0.6727232236156133,0.2837571364504096,0.6418785682252048,0.5837247680919151,0.7013565908027359,0.764537042971344,17.09871311989956,8.679221594475832,0.6727232236156133,0.6727232236156133,0.6459320661823653,0.6414851842513398,0.6191409087491173,0.6102471448870663,0.5923497513158693,0.5790091055227927,0.5387674364493734,0.5165330267942458
Qwen3-VL-8B,6372,0.6586706740741023,0.2825401127324334,0.6412700563662168,0.6240565880776494,0.8271069290526506,0.5896074501370591,7.370527306967985,6.44978028876334,0.6586706740741023,0.6586706740741023,0.6314456181646154,0.6296890725931691,0.6042205622551287,0.600707471112236,0.5769955063456416,0.5717258696313027,0.5225453945266679,0.5137626666694365
Qwen3-VL-32B,6372,0.7176061351145337,0.2532191756492566,0.6266095878246283,0.5807569369018544,0.8193677493699117,0.7037375258248124,10.561362209667294,7.745291902071563,0.7176061351145337,0.7176061351145337,0.6879052306132389,0.6840962610014901,0.6582043261119443,0.6505863868884467,0.6285034216106498,0.6170765127754033,0.5691016126080606,0.5500567645493163
Qwen2.5-VL-32B,6372,0.6524535899040933,0.20835963704703978,0.6041798185235199,0.6185093714556861,0.9432288267920079,0.5235717423725058,5.862680477087257,5.774168236032643,0.6524535899040933,0.6524535899040933,0.6253308627992493,0.6257451423843049,0.5982081356944055,0.5990366948645166,0.5710854085895615,0.5723282473447281,0.5168399543798738,0.5189113523051515
Qwen3-VL-2B,6372,0.5949551278766588,0.3754548736178018,0.6877274368089009,0.6687878108390033,0.7255972423008684,0.5353938279851226,5.940207156308851,5.591964846202134,0.5949551278766588,0.5949551278766588,0.5703394701515276,0.5684432837640594,0.5457238124263964,0.5419314396514598,0.5211081547012651,0.5154195955388603,0.47187683925100277,0.4623959073136615
Qwen2.5-VL-7B,6372,0.4754010316464281,0.3634246979198236,0.6817123489599117,0.7172090386841965,0.7647225294115383,0.3653075376562264,4.065128688010044,3.9946641556811047,0.4754010316464281,0.4754010316464281,0.4558348417803845,0.4574266451970295,0.436268651914341,0.43945225874763094,0.41670246204829736,0.4214778722982323,0.3775700823162102,0.3855290993994352
Qwen2.5-VL-3B,6372,0.48015776612768835,0.2952771970981232,0.6476385985490616,0.7233639886909246,0.8982842286660904,0.3466315180857372,3.7317953546767106,3.68157564344005,0.48015776612768835,0.48015776612768835,0.46141803092684686,0.464870982100793,0.44267829572600526,0.44958419807389755,0.4239385605251637,0.43429741404700223,0.38645909012348073,0.4037238459932114
